Date,Close,High,Low,Open,Volume
2020-04-27,18507.525390625,18559.85501815177,18170.539787317794,18408.70195372076,5023
2020-04-28,18310.921875,18786.34553825445,17848.878525183314,18786.34553825445,1365
2020-04-29,18544.955078125,18591.828794818743,18028.210018452388,18492.19921313782,3547
2020-04-30,18407.94140625,18936.263617822868,18218.26713109387,18558.76273675994,5403
2020-05-04,17865.482421875,18255.93551248772,17779.231295611487,18132.632780814216,2584
2020-05-05,17701.09375,18028.21089237614,17629.692546334143,17971.279700084426,1831
2020-05-06,17751.146484375,17883.985938502246,17563.32172606311,17883.03708525848,1374
2020-05-07,17912.638671875,17930.477852263863,17578.45333603431,17578.45333603431,1350
2020-05-08,17666.4140625,18123.04970968937,17554.73477122189,17914.35016921622,2175
2020-05-11,17249.298828125,17954.107807714856,17174.2449019892,17933.327549590933,2809
2020-05-12,17180.98046875,17363.0657797275,16842.145340737916,17079.358655396198,2964
2020-05-13,17379.48046875,17932.37648265409,17317.614128669957,17932.37648265409,2267
2020-05-14,16828.71875,17506.342677453584,16747.354582813463,17373.5032208225,3758
2020-05-15,16771.45703125,17060.334686222322,16623.910338462843,16889.589270812707,1750
2020-05-18,16176.4296875,16747.259416864737,16140.041536976569,16747.259416864737,3428
2020-05-19,15969.578125,16460.70413552485,15888.545696873623,16320.273871975296,2642
2020-05-20,16627.845703125,16794.701162959824,15969.578814322549,16016.641561059989,2574
2020-05-21,16968.626953125,17548.090853569967,16611.904485266852,16745.361056764505,5268
2020-05-22,16778.71484375,17269.129279030964,16699.817324777196,16984.47330190408,1825
2020-05-26,16624.525390625,16747.25918288609,16415.16055886285,16699.81652231134,1968
2020-05-27,16981.578125,17060.381127282737,16543.35063003759,16783.315983280147,4631
2020-05-28,17092.97265625,17357.893572071946,16928.252117317064,17061.23425914633,2679
2020-05-29,17363.20703125,17648.669139672533,16984.47191398593,17174.24254989639,8731
2020-06-01,17133.44140625,17533.85743734251,16889.58614560835,17354.524191189703,6563
2020-06-02,17047.759765625,17506.29306695287,16908.56374477522,17382.041483756297,49626
2020-06-03,16995.0546875,17352.581510206044,16889.589269254302,16993.963135524973,36350
2020-06-04,17148.671875,17269.128046095913,17005.773102101393,17126.80006769402,2813
2020-06-05,17059.66796875,17265.75813129554,16984.471356737628,17148.62295141448,3900
2020-06-08,17337.16015625,17411.45610260061,17106.068072885515,17164.754272264036,4664
2020-06-09,17237.626953125,17544.295564260097,17174.24281844823,17410.981690448385,3131
2020-06-10,17326.154296875,17458.899232883858,17157.495637166026,17438.97331528111,2258
2020-06-11,16679.466796875,17411.458972438224,16552.74669069127,17411.458972438224,7087
2020-06-12,16514.220703125,16642.599426803063,16130.552289357753,16131.452958589742,4153
2020-06-15,16319.849609375,16694.124031446132,16225.390527323456,16694.124031446132,5573
2020-06-16,17534.427734375,18123.09664743269,17099.284014836885,18075.653986051977,22640
2020-06-17,17676.755859375,18022.518348918657,17269.651490760447,17454.155261048683,12144
2020-06-18,17810.876953125,17883.98684053629,17563.55982524637,17676.75691099971,4514
2020-06-19,17642.314453125,17932.378159871507,17364.015044481115,17932.378159871507,8327
2020-06-22,17567.96875,17742.60592211488,17454.81800631252,17615.45959377842,6789
